Category,Recommended action,Your decision,Monday card ID,Order number,Card name,Monday board,Exists on Monday,Status,Invoice / PO,Order date,Last seen,Why it is here,Your notes
"Deleted card (safe deletion candidate)","Delete from old Monday list","","11732246307","","BFI / 250507 Pasons Table Desk is Installed (copy)","Order Track AKF","No - deleted","In Progress (64%)","","2025-05-09","2026-04-14T00:25:40.017Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","8540534739","","EvensonBest/240606R","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-12-12","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","12762041855","","","Design AKF","No - deleted","In Progress (0%)","","2026-08-10","2026-08-10T14:28:57.144Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6146978105","240214","AFD / 240214 (7/31)","Shipped Orders AKF","No - deleted","In Progress (100%)","","2024-02-27","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6147719953","240215","Cama Inc / 240215","Shipped Orders AKF","No - deleted","In Progress (39%)","","2024-02-27","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6155124717","240216","EvensonBest / 240216","Shipped Orders AKF","No - deleted","In Progress (75%)","","2024-02-27","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6215985203","240301","MOE / 240301","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-03-07","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6241881291","240302","Dancker / 240302","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-03-11","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6262548012","240303","BFI / 240303 (5/20)","Shipped Orders AKF","No - deleted","In Progress (100%)","","2024-03-13","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6288563257","240305","S-O-S / 240305 (JustWork)","Shipped Orders AKF","No - deleted","In Progress (51%)","","2024-03-19","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6311293438","240306","Empire / 240306","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-03-21","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6314368924","240307","Cama Inc / 240307","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-03-21","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6331223142","240308","Washington Workplace / 240308","Shipped Orders AKF","No - deleted","In Progress (63%)","","2024-03-26","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
